iso_code,location,continent,Cases,lat,long
ABW,Aruba,North America,43913,12.5,-69.97
AFG,Afghanistan,Asia,207555,33,65
AGO,Angola,Africa,105095,-12.5,18.5
AIA,Anguilla,North America,3904,18.25,-63.17
ALB,Albania,Europe,332738,41,20
AND,Andorra,Europe,47751,42.5,1.5
ARE,United Arab Emirates,Asia,1046918,24,54
ARG,Argentina,South America,9891139,-34,-64
ARM,Armenia,Asia,446109,40,45
ASM,American Samoa,Oceania,8285,-14.33,-170
ATG,Antigua and Barbuda,North America,9114,17.05,-61.8
AUS,Australia,Oceania,11047174,-27,133
AUT,Austria,Europe,5700878,47.33,13.33
AZE,Azerbaijan,Asia,826311,40.5,47.5
BDI,Burundi,Africa,52162,-3.5,30
BEL,Belgium,Europe,4679009,50.83,4
BEN,Benin,Africa,27986,9.5,2.25
BES,Bonaire Sint Eustatius and Saba,North America,11732,NULL,NULL
BFA,Burkina Faso,Africa,22023,13,-2
BGD,Bangladesh,Asia,2037125,24,90
BGR,Bulgaria,Europe,1292033,43,25
BHR,Bahrain,Asia,696614,26,50.55
BHS,Bahamas,North America,37491,24.25,-76
BIH,Bosnia and Herzegovina,Europe,401000,44,18
BLM,Saint Barthelemy,North America,5408,NULL,NULL
BLR,Belarus,Europe,994037,53,28
BLZ,Belize,North America,69994,17.25,-88.75
BMU,Bermuda,North America,18622,32.33,-64.75
BOL,Bolivia,South America,1156157,-17,-65
BRA,Brazil,South America,36302988,-10,-55
BRB,Barbados,North America,105515,13.17,-59.53
BRN,Brunei,Asia,270199,4.5,114.67
BTN,Bhutan,Asia,62532,27.5,90.5
BWA,Botswana,Africa,328031,-22,24
CAF,Central African Republic,Africa,15360,7,21
CAN,Canada,North America,4492516,60,-95
CHE,Switzerland,Europe,4380469,47,8
CHL,Chile,South America,5032352,-30,-71
CHN,China,Asia,84925042,35,105
CIV,Cote d'Ivoire,Africa,87941,8,-5
CMR,Cameroon,Africa,123993,6,12
COD,Democratic Republic of Congo,Africa,95172,"0,25",
COG,Congo,Africa,25063,-1,15
COK,Cook Islands,Oceania,6710,-21.23,-159.77
COL,Colombia,South America,6353818,4,-72
COM,Comoros,Africa,8985,-12.17,44.25
CPV,Cape Verde,Africa,63200,16,-24
CRI,Costa Rica,North America,1166842,10,-84
CUB,Cuba,North America,1111972,21.5,-80
CUW,Curacao,North America,45721,NULL,NULL
CYM,Cayman Islands,North America,31472,19.5,-80.5
CYP,Cyprus,Europe,631111,35,33
CZE,Czechia,Europe,4580079,49.75,15.5
DEU,Germany,Europe,37385556,51,9
DJI,Djibouti,Africa,15690,11.5,43
DMA,Dominica,North America,15760,15.42,-61.33
DNK,Denmark,Europe,3388439,56,10
DOM,Dominican Republic,North America,659009,19,-70.67
DZA,Algeria,Africa,271217,28,3
ECU,Ecuador,South America,1057001,-2,-77.5
EGY,Egypt,Africa,515514,27,30
ERI,Eritrea,Africa,10189,15,39
ESP,Spain,Europe,13684258,40,-4
EST,Estonia,Europe,612285,59,26
